factor,condition,temperature_c,humidity_pct,vibration_orientation,exposure,device_type,workload,metric,metric_percentile,direction,change_pct_min,change_pct_max,source_paper,source_page,source_fig,base_sample_id,sample_id,dataset_type,benchmark_task,benchmark_query_id,benchmark_query_group,retrieval_terms,tail_latency_change_pct,predictive_query
temperature+humidity,Varying temperature and humidity (abrupt changes); observed tail latency improvement,,,,short-term,TLC/MLC (tested),read+write,tail_latency,tail (unspecified),improves,0,50.0,Temperature.pdf,4,Fig.3(a),s0,s0__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""temperature"", ""humidity"", ""MLC"", ""read+write""]",25.0,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
temperature,High temperature increases average bandwidth (room humidity); TLC at 50°C,50,room,,short-term,TLC,avg,bandwidth,average,improves,51,51.0,Temperature.pdf,4,Fig.3(b),s1,s1__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""temperature"", ""TLC"", ""avg""]",,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
temperature,High temperature increases average bandwidth (room humidity); TLC at 60°C,60,room,,short-term,TLC,avg,bandwidth,average,improves,67,67.0,Temperature.pdf,4,Fig.3(b),s2,s2__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""temperature"", ""TLC"", ""avg""]",,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
humidity,"When humidity decreases, tail latency decreases (TLC)",,decrease,,short-term,TLC,read+write,tail_latency,tail (unspecified),improves,0,9.0,Temperature.pdf,5,Fig.3(c),s3,s3__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""humidity"", ""TLC"", ""read+write""]",4.5,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
humidity,"When humidity decreases, tail latency decreases (MLC)",,decrease,,short-term,MLC,read+write,tail_latency,tail (unspecified),improves,0,7.0,Temperature.pdf,5,Fig.3(c),s4,s4__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""humidity"", ""MLC"", ""read+write""]",3.5,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
humidity,Tail latency increases when humidity increases; MLC 99th tail latency,,increase (high humidity),,short-term,MLC,read+write,tail_latency,99th,degrades,0,18.0,Temperature.pdf,5,Fig.3(d),s5,s5__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""humidity"", ""MLC"", ""read+write""]",9.0,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
temperature,"When temperature decreases, bandwidth degrades (TLC only); reported degradation range",decrease,,,short-term,TLC,avg,bandwidth,average,degrades,35,65.0,Temperature.pdf,5,Fig.4,s6,s6__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""temperature"", ""TLC"", ""avg""]",,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
humidity,High humidity causes post-impact tail-latency degradation; TLC 99.99th,,high humidity (post-impact),,post-impact/long-term,TLC,read+write,tail_latency,99.99th,degrades,0,75.0,Temperature.pdf,5,Fig.5(a),s7,s7__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""humidity"", ""TLC"", ""read+write""]",37.5,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
humidity,High humidity causes post-impact tail-latency degradation; MLC 99.99th,,high humidity (post-impact),,post-impact/long-term,MLC,read+write,tail_latency,99.99th,degrades,0,10.0,Temperature.pdf,5,Fig.5(a),s8,s8__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""humidity"", ""MLC"", ""read+write""]",5.0,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
humidity,High humidity impact: read bandwidth degrades (average),,high humidity (post-impact),,post-impact/long-term,TLC/MLC (tested),read,bandwidth,average,degrades,0,62.0,Temperature.pdf,5,Fig.5,s9,s9__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""humidity"", ""MLC"", ""read""]",,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
humidity,High humidity impact: write bandwidth degrades (average),,high humidity (post-impact),,post-impact/long-term,TLC/MLC (tested),write,bandwidth,average,degrades,0,85.0,Temperature.pdf,5,Fig.5,s10,s10__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""humidity"", ""MLC"", ""write""]",,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
vibration,Vibration can negatively affect read/write tail latency by more than 10%,,,unspecified,short-term,All (tested),read+write,tail_latency,tail (unspecified),degrades,10,,Vibration.pdf,2,text,s11,s11__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""vibration"", ""read+write""]",10.0,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
vibration,Short-term vibration: tail-latency degradation up to 30% (worst case),,,parallel/perpendicular,short-term,All (vendors A/B/C),read+write,tail_latency,tail (unspecified),degrades,0,30.0,Vibration.pdf,5,Fig.6,s12,s12__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""vibration"", ""read+write""]",15.0,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
vibration,Short-term vibration: vendor C write tail-latency degradation up to 18% (read <5%),,,parallel/perpendicular,short-term,Vendor C,write,tail_latency,tail (unspecified),degrades,0,18.0,Vibration.pdf,5,Fig.6,s13,s13__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""vibration"", ""write""]",9.0,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
vibration,Short-term vibration: vendor C read tail-latency degradation <5%,,,parallel/perpendicular,short-term,Vendor C,read,tail_latency,tail (unspecified),degrades,0,5.0,Vibration.pdf,5,Fig.6,s14,s14__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""vibration"", ""read""]",2.5,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
vibration,Orientation matters: difference between parallel and perpendicular degradation can be as high as 30%,,,parallel vs perpendicular,short-term,All (tested),read+write,tail_latency,tail (unspecified),degrades,0,30.0,Vibration.pdf,5,text,s15,s15__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""vibration"", ""read+write""]",15.0,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
vibration,Long-term vibration exposure may result in more than 30% performance degradation (tail latency),,,,long-term,All (tested),read+write,tail_latency,tail (unspecified),degrades,30,,Vibration.pdf,2,text,s16,s16__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""vibration"", ""read+write""]",30.0,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
vibration,"Long-term vibration: tail-latency impact can be dramatic, up to 45% in many cases",,,parallel/perpendicular,long-term,All (tested),read+write,tail_latency,tail (unspecified),degrades,0,45.0,Vibration.pdf,6,Fig.10,s17,s17__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""vibration"", ""read+write""]",22.5,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
vibration,Long-term vibration: Vendor A observes relatively small impact (less than 5%),,,,long-term,Vendor A,read+write,tail_latency,tail (unspecified),degrades,0,5.0,Vibration.pdf,5,text,s18,s18__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""vibration"", ""read+write""]",2.5,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
vibration,After long-term vibration: mean bandwidth drops up to 10% for parallel vibration,,,parallel,long-term,All (tested),avg,bandwidth,mean,degrades,0,10.0,Vibration.pdf,6,Fig.10,s19,s19__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""vibration"", ""avg""]",,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
vibration,"In one case (between phases of no-vibration separated by transient failures), bandwidth decreases by more than 20%",,,,long-term,All (tested),avg,bandwidth,mean,degrades,20,,Vibration.pdf,7,text,s20,s20__predict_failure_and_performance,ENV,predictive,predict_failure_and_performance,predictive,"[""SMART"", ""SSD failure prediction"", ""tail latency"", ""TTF"", ""reliability"", ""vibration"", ""avg""]",,Predict whether this sample indicates SSD failure risk within the evaluation horizon and estimate time-to-failure and tail-latency impact when the target is available.
